idquest,cluster,target
12111300201.0,0,0
12111300301.0,0,1
12111300401.0,0,0
12111400101.0,0,1
12111400201.0,0,1
12111400301.0,0,0
12111400401.0,0,1
12111400501.0,0,1
12111400601.0,0,1
12111400701.0,0,1
12111400901.0,0,1
12111401001.0,0,0
12111401101.0,0,1
12111401201.0,0,1
12111401301.0,0,1
12111401401.0,0,1
12111401501.0,0,1
12111401601.0,0,1
12111401701.0,0,1
12111401801.0,0,1
12111401901.0,0,1
12111402001.0,0,0
12111500201.0,0,1
12111500701.0,0,1
12111500801.0,0,1
12111501401.0,0,1
12111501501.0,0,1
12111501602.0,0,1
12111501802.0,1,1
12111502201.0,0,0
12111502901.0,0,1
12111503101.0,0,1
12111503301.0,0,1
12111503401.0,0,1
12111503501.0,0,1
12111503601.0,0,1
12111503701.0,0,0
12111503901.0,0,1
12111504201.0,0,1
12111504301.0,0,1
12111504401.0,0,1
12111504501.0,0,1
12111504701.0,0,0
12111504801.0,0,1
12111505001.0,0,1
12111505201.0,0,0
12111505301.0,0,1
12111505401.0,0,1
12111505601.0,0,1
12111505701.0,0,1
12111700101.0,0,1
12111700201.0,0,1
12111700301.0,0,0
12111700401.0,0,1
12111700701.0,0,1
12111700801.0,0,1
12111700901.0,0,1
12111701001.0,0,1
12111701101.0,0,1
12111701201.0,0,1
12111701301.0,0,1
12111701401.0,0,1
12111701501.0,0,1
12111701601.0,0,1
12111701701.0,0,0
12111701901.0,0,1
12111702001.0,0,1
12111702201.0,0,0
12111702301.0,0,1
12111702401.0,0,1
12111702501.0,0,1
12111702601.0,0,1
12111702701.0,0,1
12111702801.0,0,1
12111702901.0,0,1
12111703001.0,0,1
12111703101.0,0,1
12111703201.0,0,1
12111703301.0,0,1
12111703401.0,0,1
12111703501.0,0,0
12111900101.0,0,1
12111900601.0,0,1
12111900701.0,0,1
12111900801.0,0,1
12111901001.0,0,1
12111901101.0,0,1
12111901301.0,0,1
12111901401.0,0,1
12111901501.0,0,1
12111901601.0,0,1
12111901701.0,0,0
12111901801.0,0,1
12111901901.0,0,1
12111902001.0,0,0
12111902101.0,0,0
12111902201.0,0,1
12112000101.0,0,1
12112000201.0,0,1
12112000301.0,0,1
12112000401.0,0,0
12112000501.0,0,1
12112000601.0,0,1
12112000701.0,0,1
12112000801.0,0,1
12112100101.0,0,0
12112100201.0,0,1
12112100301.0,0,1
12112100501.0,0,1
12112100601.0,0,0
12112100701.0,0,1
12112101001.0,0,1
12112101101.0,0,1
12112101201.0,0,1
12112101301.0,0,0
12112101401.0,0,1
12112101601.0,0,1
12112101701.0,0,1
12112101801.0,0,1
12112101901.0,0,1
12112300101.0,0,1
12112300201.0,0,1
12112300301.0,0,0
12112300501.0,0,1
12112300801.0,0,1
12112301101.0,0,1
12112301201.0,0,1
12112301301.0,0,1
12112301401.0,0,1
12112301501.0,0,1
12112301701.0,0,1
12112301801.0,0,1
12112302101.0,0,1
12112302201.0,0,1
12112302301.0,0,1
12112302401.0,0,1
12112302501.0,0,1
12112302601.0,0,0
12112302701.0,0,0
12112302801.0,0,1
12112302901.0,0,1
12112303101.0,0,1
12112303201.0,0,1
12112303301.0,0,1
12112303401.0,0,1
12112303601.0,0,1
12112303701.0,0,0
12112303801.0,0,1
12112303901.0,0,0
12112304001.0,0,1
12112304101.0,0,1
12112304201.0,0,1
12112304301.0,0,1
